TagDate,RecapDate,Recap_Year,Site,SiteName,Lat,Long,StatBlock,RecapL,Lt,Dt,DL
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,119,100,1,18.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,137,133,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,121,113,1,7.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,121,111,1,9.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,138,136,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,121,111,1,9.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,113,102,1,10.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,127,124,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,137,132,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,124,116,1,7.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,149,146,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,130,128,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,135,129,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,115,110,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,133,128,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,129,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,116,97,1,18.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,105,1,12.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,107,1,10.94
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,114,101,1,12.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,120,110,1,9.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,125,117,1,7.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,116,96,1,19.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,129,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,141,127,1,13.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,128,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,126,124,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,127,1,6.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,132,129,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,127,121,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,123,128,1,-4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,100,1,17.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,121,111,1,9.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,113,98,1,14.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,133,134,1,-0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,130,115,1,14.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,137,134,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,133,124,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,118,114,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,111,97,1,13.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,139,136,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,128,114,1,13.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,125,117,1,7.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,130,117,1,12.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,130,130,1,0
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,106,89,1,16.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,112,93,1,18.9
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,129,128,1,0.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,129,123,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,120,105,1,14.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,135,132,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,132,128,1,3.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,124,117,1,6.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,124,131,1,-6.96
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,125,110,1,14.92
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,126,121,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,127,122,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,110,93,1,16.91
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,123,114,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,136,130,1,5.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,131,131,1,0
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,129,127,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,123,114,1,8.95
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,133,128,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,122,109,1,12.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,132,1,1.99
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,130,117,1,12.93
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,129,1,4.97
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,134,131,1,2.98
11/10/2002 0:00,13/10/2003 0:00,2003,478,MiddleGround,-43.54,146.99,13,135,133,1,1.99
